settlement_id,order_id,customer,gross_amount,settlement_date
SETL-0046,ORD-7046,Arjun Reddy,8643.12,2026-07-03
SETL-0053,ORD-7053,Vivaan Patel,15377.67,2026-07-03
SETL-0033,ORD-7033,Diya Nair,32035.65,2026-07-09
SETL-0019,ORD-7019,Rohan Gupta,33991.94,2026-07-13
SETL-0036,ORD-7036,Kabir Menon,9987.45,2026-07-08
SETL-0030,ORD-7030,Meera Joshi,43405.73,2026-07-15
SETL-0047,ORD-7047,Ishita Rao,14246.71,2026-07-11
SETL-0057,ORD-7057,Ananya Iyer,6560.42,2026-07-01
SETL-0004,ORD-7004,Aarav Sharma,14911.02,2026-07-13
SETL-0017,ORD-7017,Ananya Iyer,26410.98,2026-07-25
SETL-0044,ORD-7044,Sana Khan,25100.92,2026-07-14
SETL-0025,ORD-7025,Ananya Iyer,25579.68,2026-07-04
SETL-0016,ORD-7016,Aarav Sharma,34509.01,2026-07-17
SETL-0020,ORD-7020,Kabir Menon,32885.33,2026-07-16
SETL-0031,ORD-7031,Ishita Rao,39453.19,2026-07-03
SETL-0061,ORD-7061,Diya Nair,19335.17,2026-07-18
SETL-0012,ORD-7012,Diya Nair,14234.05,2026-07-03
SETL-0052,ORD-7052,Ishita Rao,36219.99,2026-07-03
SETL-0039,ORD-7039,Vivaan Patel,32456.01,2026-07-24
SETL-0018,ORD-7018,Meera Joshi,30289.58,2026-07-28
SETL-0001,ORD-7001,Kabir Menon,30754.96,2026-07-16
SETL-0059,ORD-7059,Ananya Iyer,1778.72,2026-07-14
SETL-0002,ORD-7002,Vivaan Patel,37072.04,2026-07-02
SETL-0045,ORD-7045,Kabir Menon,29495.81,2026-07-16
SETL-0024,ORD-7024,Ishita Rao,34248.94,2026-07-14
SETL-0011,ORD-7011,Ishita Rao,6122.20,2026-07-03
SETL-0027,ORD-7027,Ananya Iyer,37293.93,2026-07-06
SETL-0060,ORD-7060,Rohan Gupta,1778.72,2026-07-14
SETL-0003,ORD-7003,Vivaan Patel,30060.22,2026-07-17
SETL-0048,ORD-7048,Arjun Reddy,18015.14,2026-07-06
SETL-0022,ORD-7022,Sana Khan,773.02,2026-07-21
SETL-0042,ORD-7042,Aarav Sharma,30472.22,2026-07-19
SETL-0038,ORD-7038,Arjun Reddy,16123.69,2026-07-16
SETL-0008,ORD-7008,Meera Joshi,25836.44,2026-07-16
SETL-0013,ORD-7013,Vivaan Patel,16977.09,2026-07-18
SETL-0062,ORD-7062,Rohan Gupta,5871.39,2026-07-26
SETL-0014,ORD-7014,Sana Khan,11611.64,2026-07-11
SETL-0034,ORD-7034,Ishita Rao,8336.70,2026-07-14
SETL-0049,ORD-7049,Aarav Sharma,7377.84,2026-07-16
SETL-0029,ORD-7029,Ishita Rao,11289.86,2026-07-19
SETL-0015,ORD-7015,Arjun Reddy,18488.91,2026-07-14
SETL-0064,ORD-7064,Diya Nair,27651.93,2026-07-20
SETL-0063,ORD-7063,Arjun Reddy,41865.05,2026-07-01
SETL-0041,ORD-7041,Arjun Reddy,25981.35,2026-07-16
SETL-0032,ORD-7032,Ananya Iyer,18320.92,2026-07-05
SETL-0035,ORD-7035,Ishita Rao,9899.62,2026-07-20
SETL-0037,ORD-7037,Arjun Reddy,37537.14,2026-07-11
SETL-0026,ORD-7026,Vivaan Patel,38023.34,2026-07-28
SETL-0005,ORD-7005,Ananya Iyer,28802.10,2026-07-15
SETL-0055,ORD-7055,Aarav Sharma,24230.70,2026-07-16
SETL-0051,ORD-7051,Diya Nair,18714.82,2026-07-03
SETL-0050,ORD-7050,Sana Khan,47559.78,2026-07-23
SETL-0040,ORD-7040,Arjun Reddy,11546.06,2026-07-12
SETL-0056,ORD-7056,Ishita Rao,24819.09,2026-07-16
SETL-0006,ORD-7006,Kabir Menon,829.61,2026-07-19
SETL-0010,ORD-7010,Arjun Reddy,33483.76,2026-07-28
SETL-0009,ORD-7009,Sana Khan,20407.27,2026-07-04
SETL-0054,ORD-7054,Rohan Gupta,37235.29,2026-07-16
SETL-0043,ORD-7043,Rohan Gupta,24295.38,2026-07-23
SETL-0058,ORD-7058,Kabir Menon,6560.42,2026-07-01
SETL-0028,ORD-7028,Ananya Iyer,19845.50,2026-07-06
SETL-0023,ORD-7023,Vivaan Patel,39349.18,2026-07-12
SETL-0021,ORD-7021,Ishita Rao,19651.16,2026-07-05
SETL-0007,ORD-7007,Meera Joshi,19115.00,2026-07-05
